NAME,POP2001,POP2002,POP2003,POP2004
Gansu,2575,2593,2603,2619
Qinghai,523,529,534,539
Guangxi,4788,4822,4857,4889
Guizhou,3799,3837,3870,3904
Chongqing,3097,3107,3130,3904
Beijing,1383,1423,1456,1493
Fujian,3440,3466,3488,3511
Anhui,6328,6338,6410,6461
Guangdong,7783,7859,7954,8304
Xizang,263,267,270,274
Xinjiang,1876,1905,1934,1963
Hainan,796,803,811,818
Ningxia,563,572,580,588
Shaanxi,3659,3674,3960,3705
Shanxi,3272,3294,3314,3335
Hubei,5975,5988,6002,6016
Hunan,6596,6629,6663,6698
Sichuan,8640,8673,8700,8725
Hebei,6699,6735,6769,6809
Henan,9555,9613,9667,9717
Liaoning,4194,4203,4210,4217
Shandong,9041,9082,9125,9180
Tianjin,1004,1007,1011,1024
Jiangxi,4186,4222,4254,4284
Jiangsu,7355,7381,7406,7433
Shanghai,1614,1625,1711,1742
Zhejiang,4613,4647,4680,4720
Jilin,2691,2699,2704,2384
Inner Mongol,2377,2379,2380,2384
Heilongjiang,3811,3813,3815,3817
Yunnan,4287,4333,4376,4415
