SUMLEV,REGION,DIVISION,STATE,NAME,POP2017,POP2016,POP2015,POP2014,POP2013,POP2012
10,0,0,0,Seoul,9914,9852 ,9941 ,9975 ,9990 ,10036 
20,1,0,1,Busan,3487,3447 ,3452 ,3452 ,3456 ,3462 
20,2,0,2,Daegu,2482,2465 ,2469 ,2475 ,2476 ,2480 
20,3,0,3,Incheon,2947,2907 ,2883 ,2862 ,2830 ,2794 
20,4,0,4,Gwangju,1466,1504 ,1506 ,1505 ,1504 ,1504 
40,3,6,5,Daejeon,1508,1535 ,1542 ,1553 ,1545 ,1540 
40,4,9,6,Ulsan,1167,1169 ,1164 ,1151 ,1137 ,1125 
40,4,9,7,Sejong,263,230 ,185 ,131 ,124 ,115 
40,4,9,8,Gyeonggi,12783,12612 ,12423 ,12282 ,12126 ,11974 
40,4,9,9,Gangwon,1547,1520 ,1517 ,1510 ,1506 ,1504 
40,4,9,10,Chungbuk,1592,1596 ,1589 ,1578 ,1565 ,1553 
40,4,9,11,Chungnam,2107,2123 ,2103 ,2088 ,2062 ,2043 
40,4,9,12,Jeonbuk,1857,1833 ,1835 ,1829 ,1821 ,1817 
40,4,9,13,Jeonnam,1898,1800 ,1797 ,1792 ,1784 ,1782 
40,4,9,14,Gyeongbuk,2691,2686 ,2678 ,2671 ,2661 ,2656 
40,4,9,15,Gyeongnam,3373,3346 ,3330 ,3307 ,3278 ,3265 
40,4,9,16,Jeju,648,619 ,599 ,583 ,570 ,561 
